timestamp_publish,payload_bytes,qos,interval_configurado_s,latencia_publish_local_s,humidity,illuminance,temperature
1790282901.7545865,61,0,10.0,0.0003,53.0,180.2,28.4
1790282911.7553687,61,0,10.0,0.0003,36.7,362.9,18.9
1790282916.7906733,61,1,10.0,0.1294,44.0,711.0,18.7
1790282926.9206314,61,1,10.0,0.1412,68.5,168.7,20.2
1790282931.7722435,61,2,10.0,0.1341,46.6,758.3,26.6
1790282941.9067523,61,2,10.0,0.1425,44.0,712.5,28.0
